Manufacturer,Model,Description,Gearbox,Imperial combined (float),Fuel type,CO2 (float),Tax band
MERCEDES-BENZ,"E-Class Saloon, Model Year 2016",E 250 with 18'' & 19'' rear wheels,A7,47.1,Petrol,138,E
MERCEDES-BENZ,"GLA Class, Model Year 2017",GLA 200 with 19'' rear wheels,M6,47.1,Petrol,138,E
MERCEDES-BENZ,"GLC Coupé, Model Year 2017",GLC 350 d 4MATIC with 18'' rear wheels,A9,47.1,Diesel,161,G
MERCEDES-BENZ,"S-Class Limousine, Model Year 2016",S 350 d with 19'' wheels,A7,47.1,Diesel,157,G
MERCEDES-BENZ,"S-Class Limousine, Model Year 2016½",S 350 d with 20'' rear wheels,A9,47.1,Diesel,157,G
MERCEDES-BENZ,"S-Class Limousine, Model Year 2017",S 350 d with 20'' rear wheels,A9,47.1,Diesel,157,G
MERCEDES-BENZ,"SLC, Model Year 2017",SLC 300 with 18'' rear wheels,A9,47.1,Petrol,138,E
MERCEDES-BENZ,"SLK-Class, Model Year 2016",SLK 300 with 18'' rear wheels,A9,47.1,Petrol,138,E
MINI,"5-door Hatchback F55, From October 2014",MINI Cooper S - 17'' & 18'' tyres,M6,47.1,Petrol,139,E
MINI,"Convertible F57, From March 2016",MINI Cooper S - 16'' tyres,M6,47.1,Petrol,139,E
MINI,"Countryman R60, From September 2010",MINI Cooper S - 17'' tyres,M6,47.1,Petrol,139,E
MINI,"Countryman R60, From September 2010",MINI One - 18'' tyres,M6,47.1,Petrol,139,E
MINI,"Paceman R61, From November 2012",MINI Cooper S - 17'' tyres,M6,47.1,Petrol,139,E
NISSAN,"Juke Euro6, 2015",1.6 96ps,M5,47.1,Petrol,138,E
NISSAN,"Juke Euro6, 2015",DIG-T 190,M6,47.1,Petrol,139,E
NISSAN,"Juke Euro6, 2015",1.6 117ps 17 inch wheel,CVT,47.1,Petrol,139,E
NISSAN,"Qashqai Euro6, 2015",DIG-T 163 18/19 inch wheel,M6,47.1,Petrol,138,E
PEUGEOT,308,GTi 1.6 THP 250 S&S,M6,47.1,Petrol,139,E
PEUGEOT,308,GTi 1.6 THP 270 S&S,M6,47.1,Petrol,139,E
PEUGEOT,Traveller,Standard BlueHDi 180 S&S EAT6 Business VIP,A6,47.1,Diesel,159,G
RENAULT,Megane 2016,TCe 205 EDC,A7,47.1,Petrol,134,E
RENAULT,"Trafic Euro6, 2016",Energy dCi 95,M6,47.1,Diesel,155,G
RENAULT,"Trafic Euro6, 2016",Energy dCi 145,M6,47.1,Diesel,152,G
SEAT,Leon 5 Door,1.8 TSI 180PS Stop-Start FR,M6,47.1,Petrol,138,E
SEAT,Leon SC,1.8 TSI 180PS Stop-Start FR,M6,47.1,Petrol,138,E
SEAT,Leon ST,1.8 TSI 180PS Stop-Start FR,M6,47.1,Petrol,138,E
TOYOTA,"Avensis , MY2015",4 door Active 1.8l,6MT,47.1,Petrol,139,E
TOYOTA,"Avensis , MY2015",Touring Sport Active 1.8l CVT,CVT,47.1,Petrol,139,E
TOYOTA,"Avensis , MY2015",4 door Business Edition Plus 1.8l,6MT,47.1,Petrol,140,E
TOYOTA,"Avensis , MY2015",Touring Sport Business Edition 1.8l CVT,CVT,47.1,Petrol,142,F
TOYOTA,"Avensis , MY2015",4 door Business Edition 1.8l,6MT,47.1,Petrol,140,E
TOYOTA,"Avensis , MY2015",Touring Sport Business Edition Plus 1.8 CVT,CVT,47.1,Petrol,142,F
VAUXHALL,"Astra GTC, Model Year 2015","1.4i 140PS SRi 16v Turbo Stop/Start with 17'', 18'', 19'' and 20'' wheels",M6,47.1,Petrol,142,F
VAUXHALL,"Astra GTC, Model Year 2015","1.4i 140PS Limited Edition 16v Turbo Sop/Start with 17'', 18'', 19'' and 20'' wheels",M6,47.1,Petrol,142,F
VAUXHALL,"Astra GTC, Model Year 2016","1.4i 120PS Limited Edition 16v Turbo Stop/Start with 17'', 18'', 19'' and 20'' wheels",M6,47.1,Petrol,142,F
VAUXHALL,"Corsa 3 Door Hatchback, Model Year 2015","1.4i 90PS Design with 14'', 15'' and 16'' wheels",A6,47.1,Petrol,140,E
VAUXHALL,"Corsa 5 Door Hatchback, Model Year 2015","1.4i 90PS Design with 14'', 15'' and 16'' wheels",A6,47.1,Petrol,140,E
VAUXHALL,"Meriva, Model Year 2015","1.4i 100PS 16v SE with 15'', 16'' and 17'' wheels",M5,47.1,Petrol,140,E
VAUXHALL,"Meriva, Model Year 2015","1.4i 100PS Tech Line 16v with 15'', 16'' and 17'' wheels",M5,47.1,Petrol,140,E
VAUXHALL,"Meriva, Model Year 2016","1.4i 100PS Life 16v with 15'', 16'' and 17'' wheels",M5,47.1,Petrol,140,E
VAUXHALL,"Mokka X, Model Year 2017","1.4i 140PS Active Turbo Stop-Start with 16'', 17'', 18'' and 19'' wheels",M6,47.1,Petrol,140,E
VOLKSWAGEN,Golf,GTI 2.0 TFSI 220PS Stop-Start 3 / 5 door ,M6,47.1,Petrol,139,E
VOLKSWAGEN,Golf,GTI 2.0 TFSI 230PS 3 / 5 door Stop-Start,M6,47.1,Petrol,139,E
VOLKSWAGEN,Polo,1.8 TSI 192PS GTi,M6,47.1,Petrol,139,E
VOLKSWAGEN C.V.,Caddy Maxi Life,1.4 TSI 125PS BMT,M6,47.1,Petrol,138,E
VOLKSWAGEN C.V.,Caravelle Executive Short Wheelbase,2.0 TDI 150PS 7speed DSG BMT,D7,47.1,Diesel,155,G
VOLKSWAGEN C.V.,Caravelle Generation Six,2.0 TDI 150PS 7speed DSG BMT,D7,47.1,Diesel,155,G
VOLKSWAGEN C.V.,Caravelle SE Short Wheelbase,2.0 TDI 150PS 7speed DSG BMT,D7,47.1,Diesel,155,G
VOLKSWAGEN C.V.,Transporter Shuttle S Long Wheelbase,2.0 TDI 102PS BMT,M5,47.1,Diesel,155,G
VOLKSWAGEN C.V.,Transporter Shuttle S Short Wheelbase,2.0 TDI 84PS BMT,M5,47.1,Diesel,155,G
VOLKSWAGEN C.V.,Transporter Shuttle SE Long Wheelbase,2.0 TDI 102PS BMT,M5,47.1,Diesel,155,G
VOLKSWAGEN C.V.,Transporter Window Van T30 and T32 Long Wheelbase Low Roof,2.0 TDI 150PS BMT,M6,47.1,Diesel,157,G
VOLKSWAGEN C.V.,Transporter Window Van T30 and T32 Short Wheelbase Low Roof,2.0 TDI 150PS BMT,M6,47.1,Diesel,157,G
SSANGYONG,Tivoli,EX 1.6D 4WD 115PS A/T,6AT,47,Diesel,156,G
SSANGYONG,Tivoli,EX 1.6D 4WD 115PS A/T,6AT,47,Diesel,156,G
SSANGYONG,Tivoli,ELX 1.6D 4WD 115ps,6MT,47,Diesel,123,D
SSANGYONG,Tivoli,ELX 1.6D AUTO 4WD 115ps,6AT,47,Diesel,156,G
AUDI,A4 Avant,1.8 TFSI 170PS Stop-Start with 18'' wheels,M6,46.3,Petrol,141,F
AUDI,A4 Saloon,1.8 TFSI 170PS Stop-Start with 19'' wheels,M6,46.3,Petrol,142,F
AUDI,A5 Coupé,3.0 V6 TDI 245PS quattro 7speed S tronic 18'' wheels,QD7,46.3,Diesel,158,G
AUDI,A5 Coupé,1.8 TFSI 177PS Stop-Start 19'' wheels,M6,46.3,Petrol,142,F
